Intenção;Sentença
Interagir com a luz ou o ar-condicionado;Mude a temperatura do ar para 15 graus
Obter informações relativas ao clima;FoxBot está frio aqui dentro
Obter informações relativas ao clima;está frio?
Obter informações relativas ao clima;Quantos graus está lá fora?
Interagir com a luz ou o ar-condicionado;Foxbot, dá uma segurada na potência do ar aí
Consultar saldo da conta;Quanto dinheiro tenho?
Obter informações relativas ao clima;Qual o clima de hoje?
Interagir com a luz ou o ar-condicionado;Foxbot estou passando mal de calor
Consultar saldo da conta;Quanto eu dinheiro tenho?
Consultar saldo da conta;Foxbot, quanta grana eu tenho?
Consultar saldo da conta;FoxBot quanto posso gastar?
Interagir com a luz ou o ar-condicionado;esta muito quente
Consultar saldo da conta;Minha conta bancária está vazia?
Consultar saldo da conta;Minha conta está negativa?
Consultar saldo da conta;Foxbot, diz aí quanto dinheiro eu tenho
Interagir com a luz ou o ar-condicionado;desligue o ar condicionado em 3 horas
Interagir com a luz ou o ar-condicionado;temperatura mínima do ar-condicionado
Interagir com a luz ou o ar-condicionado;Diminua a temperatura
Consultar saldo da conta;Foxbot, estou negativado?
Consultar saldo da conta;quanto tenho de dinheiro?
Obter informações relativas ao clima;FoxBot posso ir pra praia no fim de semana?
Interagir com a luz ou o ar-condicionado;Foxbot, ligar tudo
Interagir com a luz ou o ar-condicionado;Aumente a temperatura
Interagir com a luz ou o ar-condicionado;ligue o refrigerador de ambiente
Obter informações relativas ao clima;Foxbot, piscina hoje?
Interagir com a luz ou o ar-condicionado;FoxBot está frio aqui dentro
Obter informações relativas ao clima;Foxbot, rola uma piscininha hoje?
Consultar saldo da conta;quantos kinderovos eu posso comprar com o meu saldo
Consultar saldo da conta;Foxbot, quanto ainda posso gastar?
Obter informações relativas ao clima;qual será o clima de terça feira que vem
Interagir com a luz ou o ar-condicionado;Aumente o ar
Consultar saldo da conta;Será que já dá pra eu me aposentar?
Interagir com a luz ou o ar-condicionado;Diminua o ar
Consultar saldo da conta;Foxbot, quanto dinheiro tenho pra gastar?
Obter informações relativas ao clima;qual é o clima da próxima quinta feira?
Interagir com a luz ou o ar-condicionado;Mais luz
Interagir com a luz ou o ar-condicionado;Menos luz
Consultar saldo da conta;Quanto tenho na poupança?
Obter informações relativas ao clima;Quantos graus tá fazendo agora?
Consultar saldo da conta;Como está a minha conta bancária?
Consultar saldo da conta;Como estou de dinheiro?
Consultar saldo da conta;Como eu tô de grana?
Consultar saldo da conta;Como estão minhas economias?
Consultar saldo da conta;Foxbot, tenho que economizar mais?
Consultar saldo da conta;Foxbot, como estão meus rendimentos?
Consultar saldo da conta;Mostre meu saldo
Consultar saldo da conta;Mostre meu valor em conta
Consultar saldo da conta;Mostre minha poupança
Consultar saldo da conta;Poupança
Consultar saldo da conta;Já tenho o suficiente para comprar meu carro?
Consultar saldo da conta;Quantos reais ainda tenho em conta?
Consultar saldo da conta;Foxbot, como estão minhas finanças?
Consultar saldo da conta;Foxbot, mostre minhas finanças
Consultar saldo da conta;Quanto tenho economizado?
Obter informações relativas ao clima;Será que esse fim de semana dá praia?
Obter informações relativas ao clima;Como vai tá o tempo esse fim de semana?
Obter informações relativas ao clima;Vai chover no final de semana?
Obter informações relativas ao clima;Levo roupa de frio?
Obter informações relativas ao clima;Qual a previsão para segunda?
Obter informações relativas ao clima;Qual a previsão para o final de semana?
Obter informações relativas ao clima;Mostre a previsão do tempo de hoje
Obter informações relativas ao clima;Qual a probabilidade de chuva?
Obter informações relativas ao clima;Qual a umidade relativa do ar?
Obter informações relativas ao clima;Amanhã vai fazer sol?
Obter informações relativas ao clima;Será que hoje rola uma piscina?
Consultar saldo da conta;Quanto tenho para comprar um presente?
Consultar saldo da conta;Foxbot, posso comprar um celular novo?
Consultar saldo da conta;Foxbot, quão pobre eu tô?
Consultar saldo da conta;Quão rico eu tô?
Consultar saldo da conta;Já posso me aposentar?
Consultar saldo da conta;Mostre minha conta poupança
Interagir com a luz ou o ar-condicionado;Está quente demais
Obter informações relativas ao clima;Quão quente está?
Consultar saldo da conta;Como estou de economias?
Obter informações relativas ao clima;Qual a previsão de máxima?
Interagir com a luz ou o ar-condicionado;Desligue o ar-condicionado em meia hora
Consultar saldo da conta;minha conta corrente
Consultar saldo da conta;minha conta poupança
Interagir com a luz ou o ar-condicionado;Apague a luz em 5 minutos
Obter informações relativas ao clima;está frio?
Obter informações relativas ao clima;Quão frio vai ficar hoje?
Interagir com a luz ou o ar-condicionado;Estou com muito calor
Interagir com a luz ou o ar-condicionado;Tá muito escuro
Consultar saldo da conta;Qual a situação da minha poupança?
Consultar saldo da conta;Estou pobre?
Interagir com a luz ou o ar-condicionado;Tá muito claro
Consultar saldo da conta;Como está minha poupança?
Consultar saldo da conta;Tenho dinheiro na conta poupança?
Obter informações relativas ao clima;Vai ficar mais quente?
Interagir com a luz ou o ar-condicionado;Está muito quente aqui
Consultar saldo da conta;Qual o valor que eu tenho em conta?
Interagir com a luz ou o ar-condicionado;Bom dia, acordei
Interagir com a luz ou o ar-condicionado;Boa noite! Vou dormir agora.
Interagir com a luz ou o ar-condicionado;Até amanhã! Vou dormir.
Interagir com a luz ou o ar-condicionado;Bom dia, Foxbot!
Interagir com a luz ou o ar-condicionado;Foxbot, acordei agora. Bom dia!
Obter informações relativas ao clima;Como está a umidade do ar?
Obter informações relativas ao clima;O ar está muito úmido hoje?
Consultar saldo da conta;Como está minha conta poupança?
Consultar saldo da conta;Mostre o saldo da minha conta poupança
Consultar saldo da conta;Mostre o saldo das minhas economias
Consultar saldo da conta;Mostre a minha situação financeira
Consultar saldo da conta;Mostre a minha situação econômica
Consultar saldo da conta;Consulte meus rendimentos
Consultar saldo da conta;Consulte meu saldo
Consultar saldo da conta;Consulte minhas economias
Consultar saldo da conta;meus rendimentos
Interagir com a luz ou o ar-condicionado;Tá muito escuro
Interagir com a luz ou o ar-condicionado;Tá muito quente
Interagir com a luz ou o ar-condicionado;Tá muito frio. Desligue o ar.
Interagir com a luz ou o ar-condicionado;Tenho calor. Ligue o ar-condicionado.
Consultar saldo da conta;Tenho dinheiro para comprar?
Consultar saldo da conta;Posso ir as compras com o saldo que tenho?
Obter informações relativas ao clima;Quantos graus vai fazer amanhã?
Obter informações relativas ao clima;Existe a chance de nevar hoje?
Obter informações relativas ao clima;Como está a umidade?
Obter informações relativas ao clima;Esse final de semana vai tá bom pra praia?
Obter informações relativas ao clima;Quantos graus vai fazer amanhã?
Obter informações relativas ao clima;É melhor levar um casaco?
Obter informações relativas ao clima;Coloco roupa de frio na mochila?
Obter informações relativas ao clima;Levo um guarda chuva?
Interagir com a luz ou o ar-condicionado;Aumente a temperatura do ar condicionado em 2 graus.
Interagir com a luz ou o ar-condicionado;Diminua a potência do ar-condicionado
Obter informações relativas ao clima;Alguma chance de nevar hoje?
Obter informações relativas ao clima;Levo protetor solar?
Obter informações relativas ao clima;Será que vou precisar de protetor solar?
Consultar saldo da conta;Estou com algum problema financeiro?
Obter informações relativas ao clima;Qual a temperatura agora?
Obter informações relativas ao clima;Qual a temperatura nesse momento?
Obter informações relativas ao clima;Vai chover nas próximas 3 horas?
Obter informações relativas ao clima;Diminua a temperatura do ar-condicionado para 18 graus.
Obter informações relativas ao clima;Será que vai estar chovendo no final da tarde?
Obter informações relativas ao clima;Sabe se vai estar chovendo amanhã?
Interagir com a luz ou o ar-condicionado;Aumente a temperatura do ar condicionado!
Interagir com a luz ou o ar-condicionado;Diminua a temperatura do ar
Obter informações relativas ao clima;Vou precisar de um casaco hoje?
Obter informações relativas ao clima;Vou precisar de capa de chuva?
Obter informações relativas ao clima;Tá chovendo agora?
Obter informações relativas ao clima;Como está a previsão de chuva?
Consultar saldo da conta;Qual a situação da minha conta corrente?
Consultar saldo da conta;Qual a situação da minha conta poupança?
Consultar saldo da conta;Quanta grana eu tenho em conta?
Consultar saldo da conta;Quanta grana eu tenho pra gastar?
Consultar saldo da conta;Qual o saldo da minha conta?
Consultar saldo da conta;Mostre meu saldo no banco
Interagir com a luz ou o ar-condicionado;Ligue a luz do quarto
Consultar saldo da conta;Quão rico eu tô hoje?
Consultar saldo da conta;Quão pobre eu tô agora?
Obter informações relativas ao clima;Como está a umidade relativa do ar?
Obter informações relativas ao clima;umidade do ar
Consultar saldo da conta;A grana tá curta?
Consultar saldo da conta;O salário já caiu na conta?
Consultar saldo da conta;Como que eu tô de grana?
Consultar saldo da conta;Mostra a minha grana
Obter informações relativas ao clima;Como vai tá o clima essa semana?
Obter informações relativas ao clima;Vou passar calor hoje?
Obter informações relativas ao clima;Vou passar frio hoje?
Interagir com a luz ou o ar-condicionado;Apague todas as luzes. Vou dormir.
Interagir com a luz ou o ar-condicionado;Desligue as luzes
Interagir com a luz ou o ar-condicionado;Apague a luz e desligue o ar-condicionado
Consultar saldo da conta;Foxbot, existe alguém mais rico do que eu?
Interagir com a luz ou o ar-condicionado;Foxbot, apague a luz e ligue o ar
Obter informações relativas ao clima;Como vai estar a umidade relativa do ar amanhã?
Consultar saldo da conta;Foxbot, como está o saldo da minha conta bancária?
Consultar saldo da conta;Estou com a conta corrente negativa?
Consultar saldo da conta;Estou com a conta corrente negativada?
Consultar saldo da conta;Estou com a conta corrente negativada?
Interagir com a luz ou o ar-condicionado;Foxbot, vai estar muito frio hoje?
Interagir com a luz ou o ar-condicionado;Foxbot, está escuro demais
Consultar saldo da conta;Qual o meu saldo no banco?
Consultar saldo da conta;Qual o meu saldo da conta?
Interagir com a luz ou o ar-condicionado;Foxbot, estou com frio. Diminua a pot6encia do ar.
Obter informações relativas ao clima;Está muito quente hoje?
Obter informações relativas ao clima;Vai fazer muito calor amanhã?
Interagir com a luz ou o ar-condicionado;Foxbot, acordei. Acenda as luzes!
Interagir com a luz ou o ar-condicionado;Foxbot, estou com muito frio. Aumente a temperatura do ar condicionado
Consultar saldo da conta;Como tô de dinheiro?
Obter informações relativas ao clima;A umidade do ar está muito baixa?
Obter informações relativas ao clima;Qual o nível da umidade do ar?
Consultar saldo da conta;Como tá a minha grana?
Consultar saldo da conta;Como estão meus rendimentos?
Interagir com a luz ou o ar-condicionado;Foxbot, acordei com frio. Desligue o ar condicionado!
Interagir com a luz ou o ar-condicionado;Foxbot, acordei com calor
Interagir com a luz ou o ar-condicionado;Está escuro demais
Interagir com a luz ou o ar-condicionado;Está claro demais
Obter informações relativas ao clima;O clima está muito úmido?
Obter informações relativas ao clima;O ar está seco hoje?
Obter informações relativas ao clima;Quão seco está o ar?
Obter informações relativas ao clima;Devo me preocupar com a chuva?
Obter informações relativas ao clima;Alguma chance de chuva amanhã?
Obter informações relativas ao clima;Vai fazer quantos graus hoje?
Interagir com a luz ou o ar-condicionado;Está frio demais aqui no quarto
Interagir com a luz ou o ar-condicionado;Estou com muito frio aqui
Consultar saldo da conta;Posso comprar um lanche?
Consultar saldo da conta;Já posso comprar meu apartamento?
Consultar saldo da conta;O salário desse mês já pingou na conta?
Consultar saldo da conta;Consulte o saldo da minha conta bancária
Obter informações relativas ao clima;Será que dá pra sair sem casaco hoje?
Obter informações relativas ao clima;Quão úmido está o ar agora?
Obter informações relativas ao clima;Será que vai chover no final de semana?
Interagir com a luz ou o ar-condicionado;Diminua a luz
Interagir com a luz ou o ar-condicionado;Estou sentindo calor
Interagir com a luz ou o ar-condicionado;Estou sentindo frio aqui
Interagir com a luz ou o ar-condicionado;Foxbot, aumente a temperatura do ar condicionado
Obter informações relativas ao clima;Será que o protetor solar vai ser necessário?
Obter informações relativas ao clima;Será que a capa de chuva vai fazer falta?
Obter informações relativas ao clima;A umidade do ar está alta hoje?
Obter informações relativas ao clima;Será que vou passar frio sem casaco?
Obter informações relativas ao clima;Vou precisar de roupa de frio?
Obter informações relativas ao clima;Roupa de frio vai fazer falta?
Consultar saldo da conta;Quanta grana tô podendo gastar?
Interagir com a luz ou o ar-condicionado;Foxbot, estou passando frio aqui
Obter informações relativas ao clima;Será que eu levo o guarda chuva comigo?
Obter informações relativas ao clima;Umidade relativa do ar
Interagir com a luz ou o ar-condicionado;Foxbot, estou com calor agora
Consultar saldo da conta;Consulte a situação da minha conta bancária
Consultar saldo da conta;Será que tenho grana pro resto do mês?
Consultar saldo da conta;Como estou financeiramente?
Interagir com a luz ou o ar-condicionado;Boa noite! Apague a luz.
Interagir com a luz ou o ar-condicionado;Até amanhã! Desligue a luz.
Interagir com a luz ou o ar-condicionado;Tá escuro. Acenda a luz.
Obter informações relativas ao clima;Vai tá abafado hoje?
Obter informações relativas ao clima;O tempo tá muito abafado?
Interagir com a luz ou o ar-condicionado;Bom dia! Acenda a luz.
Obter informações relativas ao clima;Como tá a umidade do ar?
Interagir com a luz ou o ar-condicionado;Ficou muito escuro. Acenda a luz!
Obter informações relativas ao clima;A umidade relativa do ar está em um nível muito baixo?
Obter informações relativas ao clima;Vou me arrepender se não levar um guarda chuva?
Obter informações relativas ao clima;Pego o gurada chuva?
Interagir com a luz ou o ar-condicionado;Foxbot, deixe o ambiente mais claro
Consultar saldo da conta;Tô ficando mais rico?
Interagir com a luz ou o ar-condicionado;Menos escuro, por favor
Obter informações relativas ao clima;Esse final de semana vai tá muito calor?
Interagir com a luz ou o ar-condicionado;Diminua a temperatura do ambiente
Obter informações relativas ao clima;Será que vai tá muito quente final de tarde?
Obter informações relativas ao clima;Estará frio ou calor amanhã?
Obter informações relativas ao clima;Hoje vai estar quente ou frio?
Consultar saldo da conta;Preciso segurar os gastos esse mês?
Consultar saldo da conta;Como estão os gastos?
Obter informações relativas ao clima;Esse fim de semana vai tá bom pra praia?
Consultar saldo da conta;Estou com as finanças negativas?
Obter informações relativas ao clima;levo capa de chuva?
Obter informações relativas ao clima;Vou precisar de protetor solar amanhã?
Interagir com a luz ou o ar-condicionado;Está escuro agora
Obter informações relativas ao clima;Bom dia! Como está o clima hoje?
Obter informações relativas ao clima;Guarda chuva ou protetor solar?
Consultar saldo da conta;Estou com o saldo negativado?
Consultar saldo da conta;Tenho saldo na conta?
Obter informações relativas ao clima;Como tá a previsão pro resto da semana?
Interagir com a luz ou o ar-condicionado;Tô morrendo de calor aqui
Interagir com a luz ou o ar-condicionado;Tô morrendo de frio
Obter informações relativas ao clima;Melhor pegar um casaco?
Obter informações relativas ao clima;Amanhã vai continuar chuvoso?
Obter informações relativas ao clima;Vai ficar chuvoso o dia todo?
Consultar saldo da conta;Tô precisando controlar os meus gastos?
Obter informações relativas ao clima;Será que amanhã vai sair um sol?
Consultar saldo da conta;Posso gastar sem culpa?
Interagir com a luz ou o ar-condicionado;Tá muito claro aqui
Interagir com a luz ou o ar-condicionado;Foxbot, esfria um pouco o quarto
Consultar saldo da conta;Estou conseguindo juntar umas economias?
Interagir com a luz ou o ar-condicionado;Chega de frio. Desliga o ar condicionado
Interagir com a luz ou o ar-condicionado;Não aguento mais esse calor. Liga o ar-condicionado
Obter informações relativas ao clima;Como vai tá a umidade do ar hoje?
Obter informações relativas ao clima;Vai dar pra tomar um sol hoje?
Consultar saldo da conta;Tenho dinheiro pra pagar um jantarzinho hoje?
Consultar saldo da conta;Será que tenho dinheiro pra pagar as contas esse mês?
Obter informações relativas ao clima;Vai ficar nublado assim a semana toda?
Obter informações relativas ao clima;Será que a amanhã vai ficar nublado de novo?
Interagir com a luz ou o ar-condicionado;Diminua a intensidade da luz
Interagir com a luz ou o ar-condicionado;Aumente o brilho da luz
Obter informações relativas ao clima;Vai chover algum dia essa semana?
Consultar saldo da conta;Mostre o valor que possuo em conta
Consultar saldo da conta;Mostre o valor do meu saldo
Interagir com a luz ou o ar-condicionado;Aumente a potência do ar-condicionado
Não sei;Quais os meus compromissos de hoje?
Não sei;Quanto foi o jogo do Palmeiras?
Não sei;Foxbot, como faço para chegar em casa?
Não sei;Hoje tem jogo do Barcelona?
Não sei;Mostre uma foto do Neymar
Não sei;mostre uma receita de caipirinha
Não sei;Quem ganhou o último BBB?
Não sei;Mostre a meus compromissos para a semana
Não sei;Consulte o número de mortes por coronavírus hoje
Não sei;O Palmeiras tem mundial?
Não sei;Quando foi o último título do São Paulo?
Não sei;Conte uma piada
Não sei;Quem é a Gabi da AE4?
Não sei;O Matheus é um autômato?
Não sei;Como faço para baixar RAM? 
Não sei;Marque uma consulta com o meu médico para semana que vem.
Não sei;Você me ama?
Não sei;Foxbot, qual a melhor rota para chegar em casa?
Não sei;Como faço para aumentar meu pênis?
Não sei;Por que o Ribamar não é da seleção?
Não sei;Receita de miojo
Não sei;De que cookie você gosta?
Não sei;Você acredita em Deus?
Não sei;Ainda tenho compromissos hoje?
Não sei;Foxbot, o Acre existe?
Não sei;Foxbot, toque Grupo Menos é Mais
Não sei;Mostre fotos do carnaval passado
Não sei;Vacina transforma em jacaré?
Não sei;O que é um mamaco?
Não sei;Marque uma reunião com o estagiário para amanhã as 17 horas
Não sei;Por que não escovar os dentes com Hipoglós?
Não sei;Foxbot, bora fumar um?
Não sei;Foxbot, toque Thiaguinho
Não sei;Foxbot, coloque um alarme para amanhã às 7h30
Não sei;Me acorde amanhã às 9 horas
Não sei;Malboro é um bom pré treino?
Não sei;Foxbot, ligue o cronômetro
Não sei;Foxbot, ligue para a maravilhosa
Não sei;Abra a câmera
Não sei;Foxbot, quantos banhos a Viih Tube toma por semana?
Não sei;Foxbot, por que foram comer o morcego?
Não sei;É necessário mexer o macarrão enquanto cozinha?
Não sei;Procure vídeos do Ronaldinho
Não sei;Como colocar uma camisinha?
Não sei;Ligue um timer por 15 minutos
Não sei;Quanto está o jogo do PSG?
Não sei;Qual é o próximo compromisso do dia?
Não sei;Foxbot, pare o cronômetro
Não sei;Por que o Thiago Leifert parece um sapatênis?
Não sei;O que fazer agora que acabou a água?
Não sei;Baixar tinta de impressora
Não sei;Tem alguma música ruim do Barões da Pisadinha?
Não sei;Amor ou o litrão?
Não sei;Quem é nóia é imune ao coronavírus?
Não sei;Tutorial de como enganar um agiota
Não sei;Como saber se ela gosta de mim?
Não sei;Como ficar rico com daytrade?
Não sei;O que é quarentena?
Não sei;Foxbot, meu colesterol está alto?
Não sei;Qual é o almoço de hoje?
Não sei;Quanto custa uma Itubaína
Não sei;Quantos anos vive uma lagosta?
Não sei;Por que liga da justiça é ruim?
Não sei;Mostre a nota de Corra no IMDB
Não sei;Como prender a respiração?
Não sei;Quando foi a última vez que tomei banho?
Não sei;Por que existem pessoas que riem como porcos?
Não sei;Onde encontro um dodo de estimação?
Não sei;O que são mulheres-sapiens?
Não sei;Postos de gasolina perto de mim
Não sei;Quero um milkshake de ovomaltine
Não sei;Por que curva de rio acumula lixo?
Não sei;Foxbot, pare o timer
Não sei;Mostre o meu próximo compromisso
Não sei;Toque minha playlist de funk
Não sei;O que é trap?
Não sei;Quanto tempo o cronômetro está marcando?
Não sei;Foxbot, me mostre uma receita de bolo
Não sei;Quanto está custando uma ação da Cyrela?
Não sei;Quem é Carlos Adão?
Não sei;Qual o nome do gorila que morreu em 2016?
Não sei;Como tratar queimaduras de sol?
Não sei;Qual a altura máxima de um anão?
Não sei;Diga a rota para o Maracanã
Não sei;Coronavac engravida?
Não sei;Como tá o câmbio de dólar pra real?
Não sei;Como saber se fui hackeado?
Não sei;Foxbot, marque dentista para amanhã às 10h
Não sei;Foxbot, ligue a impressora
Não sei;Foxbot, quantas calorias eu gastei hoje?
Não sei;Foxbot, toque uma música de ambiente
Não sei;Diminua o volume da música
Não sei;Foxbot, reserve uma mesa no Varanda para as 19h.
Não sei;Foxbot, acesse o site da Netshoes
Não sei;Como se fala eu amo você em russo?
Não sei;Foxbot, quando é o próximo show do Alok?
Não sei;Onde fica o Taj Mahal?
Não sei;Foxbot, quanto está uma passagem para Miami?
Não sei;Foxbot, quantas calorias tem uma torta de limão?
Não sei;Foxbot, mande uma mensagem para a minha irmã.
